,DOI
0,10.1086/508525
1,10.1086/504132
2,10.1086/649907
3,10.1086/504128
4,10.1086/504121
5,10.1086/586910
6,10.1086/504129
7,10.1086/593291
8,10.1086/586909
9,10.1086/513050
10,10.1086/591108
11,10.1086/518543
12,10.1086/597050
13,10.1086/520077
14,10.1086/508526
15,10.1086/587629
16,10.1086/593696
17,10.1086/504124
18,10.1086/510224
19,10.1086/521903
20,10.1086/527269
21,10.1086/510732
22,10.1086/524759
23,10.1086/595956
24,10.1086/649204
25,10.1086/529533
26,10.1086/521902
27,10.1086/504143
28,10.1086/593293
29,10.1086/648381
30,10.1086/525505
31,10.1086/595022
32,10.1086/592945
33,10.1086/508520
34,10.1086/655014
35,10.1086/651925
36,10.1086/527341
37,10.1086/651235
38,10.1086/595024
39,10.1086/651234
40,10.1086/587630
41,10.1086/589562
42,10.1086/648380
43,10.1086/598799
44,10.1086/655200
45,10.1086/506303
46,10.1086/519151
47,10.1086/523287
48,10.1086/522098
49,10.1086/523288
50,10.1086/525504
51,10.1086/508242
52,10.1086/524417
53,10.1086/596721
54,10.1086/651939
55,10.1086/506309
56,10.1086/597162
57,10.1086/644761
58,10.1086/653099
59,10.1086/510225
60,10.1086/520075
61,10.1086/521899
62,10.1086/513051
63,10.1086/506297
64,10.1086/520074
65,10.1086/649028
66,10.1086/524309
67,10.1086/592127
68,10.1086/612425
69,10.1086/589563
70,10.1086/649912
71,10.1086/519143
72,10.1086/527340
73,10.1086/510227
74,10.1086/500492
75,10.1086/504135
76,10.1086/586913
77,10.1086/588569
78,10.1086/506305
79,10.1086/506301
80,10.1086/652415
81,10.1086/605299
82,10.1086/599324
83,10.1086/518526
84,10.1086/500479
85,10.1086/651242
86,10.1086/504137
87,10.1086/504142
88,10.1086/523286
89,10.1086/596720
90,10.1086/508435
91,10.1086/506307
92,10.1086/504134
93,10.1086/592131
94,10.1086/599765
95,10.1086/591107
96,10.1086/605297
97,10.1086/597030
98,10.1086/652802
99,10.1086/591204
100,10.1086/600485
101,10.1086/529534
102,10.1086/599047
103,10.1086/653656
104,10.1086/500482
105,10.1086/513048
106,10.1086/513049
107,10.1086/588571
108,10.1086/521907
109,10.1086/529535
110,10.1086/510219
111,10.1086/653492
112,10.1086/593946
113,10.1086/510223
114,10.1086/589564
115,10.1086/592126
116,10.1086/513046
117,10.1086/598793
118,10.1086/653494
119,10.1086/527268
120,10.1086/506300
121,10.1086/599323
122,10.1086/586915
123,10.1086/599221
124,10.1086/519150
125,10.1086/652193
126,10.1086/655807
127,10.1086/518546
128,10.1086/500487
129,10.1086/649908
130,10.1086/597049
131,10.1086/521906
132,10.1086/655417
133,10.1086/520072
134,10.1086/525503
135,10.1086/593684
136,10.1086/653657
137,10.1086/504138
138,10.1086/644611
139,10.1086/519149
140,10.1086/597160
141,10.1086/500478
142,10.1086/595716
143,10.1086/518527
144,10.1086/500491
145,10.1086/500486
146,10.1086/596304
147,10.1086/591482
148,10.1086/518544
149,10.1086/520073
150,10.1086/593700
151,10.1086/510217
152,10.1086/651240
153,10.1086/592130
154,10.1086/597159
155,10.1086/649772
156,10.1086/500481
157,10.1086/519148
158,10.1086/508522
159,10.1086/654892
160,10.1086/513043
